"","s0"
"ORCHARD_FARMS12",0.00282020463476354
"BERRY_FARMS07",-0.0136490751435958
"BERRY_FARMS12",0.0180830756871912
"SLHOUSE07",-0.261459054351547
"SLHOUSE12",0.13645021076025
"GHVEG_FARMS07",-0.0807232074985194
"GHVEG_FARMS12",0.00996920653466814
"CSA07",-0.0262770617348489
"CSA12",-0.0206902180287684
"AGRITRSM_OPS07",-0.00594240222363192
"AGRITRSM_OPS12",0.00377962914577424
"FARM_TO_SCHOOL09",-0.453248019449756
"WIC.participants.FY.2009",-9.76915424531792e-05
"WIC.participants.FY.2011",2.94314771453727e-05
"WIC.participants..FY.2012",1.12594738013038e-05
"WIC.participants..FY.2013",-1.04608765299212e-06
"National.School.Lunch.Program.participants.FY.2009",-1.19216111872637e-05
"National.School.Lunch.Program.participants.FY.2011",2.7642542306101e-06
"National.School.Lunch.Program.participants..FY.2012",2.51814092620008e-06
"National.School.Lunch.Program.participants..FY.2013",6.51472913011571e-06
"School.Breakfast.Program.participants.FY.2009",6.29787189973506e-05
"School.Breakfast.Program.participants.FY.2011",-3.10295997877211e-05
"School.Breakfast.Program.participants..FY.2012",-9.73529682652643e-06
"School.Breakfast.Program.participants..FY.2013",-5.9268377152072e-06
"Child.and.Adult.Care.particpants.FY.2009",2.88680244856658e-05
"Child.and.Adult.Care.particpants.FY.2011",-2.21694660474059e-05
"Child.and.Adult.Care.participants..FY.2012",-4.61023163682197e-05
"Child.and.Adult.Care.participants..FY.2013",9.40182070459832e-05
"Summer.Food.particpants.FY.2009",-5.02620790256064e-05
"Summer.Food.participants.FY.2011",2.58977689106425e-05
"Summer.Food.participants..FY.2012",-5.32888174403684e-05
"Summer.Food.participants..FY.2013",4.46392982898364e-05
"State.Population..2009",1.7575537123081e-06
"State.Population..2010",5.59982262146e-07
"State.Population...2011",-4.44850187840662e-07
"State.Population..2012",-4.23981701367207e-07
"State.Population...2013",-4.14196756936902e-07
"RECFAC09",-0.0184010837723744
"RECFACPTH09",-3.18876122282958
"PCT_NHWHITE10",-0.0137675778846343
"PCT_NHBLACK10",0.0542325509430945
"PCT_HISP10",-0.0388381933194731
"PCT_NHASIAN10",-0.0264012315734609
"PCT_NHNA10",0.0122879440095505
"PCT_NHPI10",0.0875984651647979
"PCT_65OLDER10",-0.0333982156180288
"PCT_18YOUNGER10",0.172249069262172
"PERPOV10",-0.614528044572843
"PERCHLDPOV10",-0.447097233702771
"METRO13",-0.435125979485466
"POPLOSS10",0.388585316305846
"COUNTY_STATE_RELATIVE_POP_2010",-4.18380726550194
